HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
MOUNT AIRY,NV0695,64801,2772,,,,,20,,,,0,,,,
MOUNT POTOSI (in NV0525),NV0506,,,,,,,0,,,,0,,,,
MOUNT STERLING (in NV0510),NV0508,33865,554,,,,,0,,,,0,,,March 1999,
NORTH CHERRY CREEK (in NV0105 & NV0107),NV0106,0,0,,,,,0,,,,0,,,December 1996,
NORTH SHOSHONE,NV0697,102888,72247,,,,,0,,,,0,,,,
OSGOOD MOUNTAINS,NV0202,87394,54728,,,,,0,,,,0,,,,
PAH RAH MOUNTAINS,NV0304,11513,12009,,,,,0,,,,0,,,August 1985,
PARK MOUNTAIN*,NV0694,32255,59,,,,,0,,,,0,,,,
PATTERSON-EAGLE (in NV0404),NV0492,0,0,,,,,0,,,,0,,,,
POWELL MOUNTAIN*,NV0318,26705,3366,,,,,0,,,,0,,,,
QUINN*,NV0696,103973,1735,,,,,0,,,,0,,,,
SCHELL CREEK (in NV0401),NV0490,0,0,,,,,0,,,,0,,,,
SELENITE RANGE,NV0212,122630,2676,,,,,0,,,,1,,,December 2005,
SLUMBERING HILLS,NV0205,46008,447,,,,,0,,,,0,,,,
SMITH CREEK (in NV0606),NV0688,0,0,,,,,0,,,,0,,,,
SONOMA RANGE,NV0223,150099,62490,,,,,80,,,,0,,,April 1987,
SOUTH PANCAKE,NV0692,75109,0,,,,,0,,,,0,,,,
SOUTH SLUMBERING HILLS,NV0230,15797,14299,,,,,0,,,,0,,,December 1985,
SPRING MOUNTAIN (in NV0504 &NV0507),NV0525,342123,14469,,,,,0,,,,0,,,,
TOANO,NV0110,43811,23869,,,,,100,,,,0,,,October 1993,
TRINITY RANGE,NV0232,105759,55698,,,,,3,,,,0,,,December 2005,
TRUCKEE RANGE,NV0213,93318,77752,,,,,0,,,,0,,,,
TULE RIDGE/MAHOGANY FLAT,NV0319,4176,228,,,,,0,,,,0,,,,
UPPER HOT CREEK*,NV0693,88134,1062,,,,,0,,,,0,,,,
WILLOW CREEK (in NV0618),NV0699,0,0,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,NV000Z,0,0,,,,,98,,,,0,,,February 2006,
BORDO ATRAVESADO,NM0001,16486,3128,16486,3128,60,,50,,0,,0,,,August 2005,2005
CARRACAS MESA*(3),NM0003,8019,979,8019,979,23,,12,,0,,0,,,,
GODFREY HILLS,NM0002,9405,17701,,,,,0,,,,0,,,,
PUNCHE VALLEY,NM0004,54743,16066,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,NM000Z,,,,,,,0,,,,0,,,April 1995,
BEATYS BUTTE,OR0002,399185,38837,399185,38837,250,,126,,0,,0,,,August 2004,2004
COLD SPRING,OR0013,29877,2788,29877,2788,150,,75,,0,,0,,,July 2005,2005
COYOTE LAKE/ALVORD TULE SPRINGS,OR0014,611976,46976,552780,35649,390,,193,,0,,0,,,February 2006,2006
HOG CREEK,OR0011,21816,566,21816,566,50,,71,,0,,0,,,September 2003,2003
JACKIES BUTTE,OR0015,120900,2867,65211,40,150,,121,,0,,0,,,September 2000,2003
KIGER,OR0010,26863,11496,26626,3674,82,,107,,0,,0,,,November 2003,2004
LIGGETT TABLE,OR0037,28139,714,28139,714,25,,46,,0,,0,,,August 2003,2003
PAISLEY DESERT,OR0001,328050,7698,297764,6210,150,,142,,0,,0,,,November 2003,2004
PALOMINO BUTTES,OR0006,85200,12805,71415,2816,64,,36,,0,,0,,,September 2005,2005
POKEGAMA ,OR0018,15903,54603,15903,54603,50,,36,,0,,0,,,June 2000,2002
RIDDLE MOUNTAIN,OR0009,29858,71810,28239,4426,56,,55,,0,,0,,,September 2003,2003
SAND SPRINGS,OR0017,193052,14201,193052,14201,200,,100,,0,,0,,,October 2005,2006
SHEEPSHEAD/HEATH CREEK (3),OR0016,198749,6527,198749,6527,302,,250,,0,,0,,,January 2002,2002
SOUTH STEENS,OR0003,186348,94367,126424,8034,304,,191,,0,,0,,,November 2004,2005
STINKINGWATER,OR0008,78196,13925,78196,13925,80,,40,,0,,0,,,September 2005,2005
THREE FINGERS,OR0012,82259,10423,61893,9593,150,,217,,0,,0,,,September 2002,2002
WARM SPRINGS,OR0007,474196,25258,474196,25258,202,,271,,25,,15,,,August 2001,2001
MURDERERS CREEK*,OR0019,33944,31865,33944,31865,35,,36,,0,,0,,,February 2005,2005
ALVORD TULE SPRINGS,OR0005,0,0,,,,,0,,,,0,,,,
ATTURBURY,OR0028,7837,1777,,,,,0,,,,0,,,,
BASQUE,OR0025,8555,824,,,,,0,,,,0,,,,
CHERRY CREEK,OR0021,35473,103538,,,,,0,,,,0,,,,
COTTONWOOD BASIN,OR0026,7782,261,,,,,0,,,,0,,,,
COTTONWOOD CREEK,OR0027,24282,467,,,,,0,,,,0,,,,
DIAMOND CRATERS,OR0031,41025,13492,,,,,0,,,,0,,,,
EAST WAGONTIRE,OR0034,111725,84229,,,,,0,,,,0,,,,
HEATH CREEK-SHEEPSHEAD (in OR0016),OR0004,0,0,,,,,0,,,,0,,,,
LAKERIDGE,OR0023,3978,377,,,,,0,,,,0,,,,
MIDDLE FORK,OR0032,37339,5943,,,,,0,,,,0,,,,
MORGER,OR0030,184,26670,,,,,0,,,,0,,,,
POTHOLES,OR0024,9225,1032,,,,,0,,,,0,,,December 1990,
PUEBLO-LONE MOUNTAIN,OR0036,229486,3320,,,,,0,,,,0,,,November 1992,
RHODES CANYON,OR0022,14779,24223,,,,,0,,,,0,,,,
SECOND FLAT,OR0033,9159,545,,,,,0,,,,0,,,,
SOUTH CATLOW,OR0035,42457,54761,,,,,0,,,,0,,,,
