HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
ALAMO (3),AZ0005,288094,341044,288094,341044,0,,0,,200,,151,,,June 2003,2003
BIG SANDY (3),AZ0004,192155,243905,192155,243905,0,,0,,139,,137,,,June 2003,2003
BLACK MOUNTAIN,AZ0003,574833,1094309,566402,1006781,0,,0,,478,,434,,,December 2003,2001
CERBAT MOUNTAINS,AZ0002,60448,83043,60448,83043,90,,60,,0,,0,,,March 1995,
CIBOLA-TRIGO,AZ0011,281388,1027901,279595,918938,150,,135,,165,,180,,,December 2003,2002
HAVASU (3),AZ0010,308625,410313,308573,386692,0,,0,,170,,209,,,December 2002,2005
LAKE PLEASANT,AZ0006,60819,103460,60819,103460,0,,0,,208,,208,,,July 2002,2001
HARQUAHALA,AZ0008,117466,126254,,,,,0,,,,47,,,June 2002,
LITTLE HARQUAHALA MOUNTAINS,AZ0009,51945,65891,,,,,0,,,,0,,,September 1997,
PAINTED ROCKS,AZ0007,31286,38738,,,,,0,,,,25,,,September 1999,
TASSI-GOLD BUTTE,AZ0001,52873,103072,,,,,0,,,,10,,,January 2002,
OUTSIDE OF HERD AREAS,AZ000Z,,,,,,,20,,,,100,,,March 2002,
BITNER,CA0267,47526,50433,47526,50433,25,,85,,0,,0,,,October 1993,2003
BUCKHORN,CA0262,67234,76126,67234,76126,85,,287,,0,,0,,,November 2003,2004
CARTER RESERVOIR,CA0269,21062,22934,21062,22934,35,,108,,0,,0,,,August 2003,2004
CENTENNIAL,CA0654,358574,1030357,71353,318500,168,,168,,0,,45,,,December 2006,2007
CHEMEHUEVI,CA0698,377671,409193,105253,113481,0,,0,,108,,174,,,May 2003,2004
CHICAGO VALLEY,CA0681,311718,333028,258409,277598,12,,6,,0,,0,,,September 2005,2005
