HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
ALAMO (3),AZ0005,288094,52950,288094,52950,0,,0,,160,,186,,,June 2003,2003
BIG SANDY (3),AZ0004,192155,51750,192155,51750,0,,0,,139,,159,,,June 2003,2003
BLACK MOUNTAIN,AZ0003,574833,519476,566402,440379,0,,0,,478,,504,,,November 2007,2001
CERBAT MOUNTAINS,AZ0002,60448,22595,60448,22595,90,,60,,0,,0,,,March 1995,
CIBOLA-TRIGO,AZ0011,281388,746513,279595,639343,150,,285,,285,,339,,,December 2003,2002
HAVASU (3),AZ0010,308625,101688,308573,78119,0,,0,,166,,166,,,January 2008,2005
LAKE PLEASANT,AZ0006,60819,42641,60819,42641,0,,0,,208,,241,,,February 2008,2001
HARQUAHALA,AZ0008,117466,8788,,,,,0,,,,47,,,June 2002,
LITTLE HARQUAHALA MOUNTAINS,AZ0009,51945,13946,,,,,0,,,,0,,,September 1997,
PAINTED ROCKS,AZ0007,31286,7452,,,,,0,,,,20,,,January 2008,
TASSI-GOLD BUTTE,AZ0001,52873,50199,,,,,0,,,,10,,,January 2002,
OUTSIDE OF HERD AREAS,AZ000Z,,,,,,,40,,,,116,,,March 2002,
BITNER,CA0267,47526,2907,47526,2907,25,,27,,0,,0,,,September 2007,2007
BUCKHORN,CA0262,67234,8892,67234,8892,85,,344,,0,,0,,,November 2003,2004
CARTER RESERVOIR,CA0269,21062,1872,21062,1872,35,,104,,0,,0,,,August 2003,2004
CENTENNIAL,CA0654,358574,671783,71353,247147,168,,200,,0,,45,,,February 2008,2008
CHEMEHUEVI,CA0698,377671,31522,105253,8228,0,,0,,119,,174,,,August 2007,2004
CHICAGO VALLEY,CA0681,311718,21310,258409,19189,12,,4,,0,,0,,,September 2005,2005
CHOCOLATE-MULE MOUNTAINS,CA0671,340947,254909,150757,8404,0,,0,,133,,104,,,March 2006,2006
COPPERSMITH,CA0261,60114,13216,60114,13216,75,,94,,0,,0,,,July 2005,2005
FORT SAGE,CA0241,13649,2257,13649,2257,65,,58,,0,,0,,,September 1988,2001
FOX HOG,CA0263,92223,4577,92223,4577,220,,364,,0,,0,,,August 2005,2005
HIGH ROCK,CA0264,138510,527,94606,94,120,,356,,0,,0,,,September 2006,2006
LEE FLAT,CA0652,133360,2149,71940,1308,0,,0,,15,,0,,,October 2001,2006
MASSACRE LAKES,CA0268,63077,2581,35872,1478,35,,108,,0,,0,,,October 1988,1988
NEW RAVENDALE,CA0243,23451,8731,9348,5548,25,,80,,0,,0,,,July 2004,2004
NUT MOUNTAIN,CA0266,38327,1793,38327,1793,55,,29,,0,,0,,,September 2007,2007
PALM CANYON,CA0662,2758,6773,2758,6773,6,,0,,0,,0,,,August 2002,2002
PIPER MOUNTAIN,CA0656,95937,8397,87876,8312,17,,0,,82,,0,,,April 1994,
RED ROCK LAKES,CA0251,13464,5146,13464,5146,25,,65,,0,,0,,,February 2008,2004
TWIN PEAKS,CA0242,636231,121841,636231,121841,758,,1122,,116,,169,,,August 2006,2006
WALL CANYON,CA0265,38909,2243,38909,2243,25,,36,,0,,0,,,September 2007,2007
WAUCOBA-HUNTER MOUNTAIN**,CA0651,464307,5932,22042,537,0,,0,,11,,16,,,October 2001,2004
ROUND MOUNTAIN (Devils Garden Plateau)*,CA0252,7637,93,7637,93,10,,14,,0,,0,,,August 2004,2005
CIMA DOME,CA0695,90429,2772,,,,,0,,,,0,,,December 1992,
CLARK MOUNTAIN,CA0691,217231,16139,,,,,0,,,,52,,,January 2007,
COYOTE CANYON,CA0663,285,21135,,,,,0,,,,0,,,,
DEAD MOUNTAIN,CA0697,38580,4178,,,,,0,,,,29,,,April 1982,
GRANITE-PROVIDENCE MOUNTAINS,CA0693,174209,18533,,,,,0,,,,0,,,August 1999,
KRAMER,CA0682,5646,8378,,,,,0,,,,0,,,January 1990,
LAVA BEDS,CA0692,170681,8564,,,,,0,,,,0,,,May 1997,
MORONGO,CA0661,27438,11098,,,,,0,,,,0,,,February 1988,
NEW YEARS LAKE  (in CA0269),CA0260,256352,59917,,,,,0,,,,0,,,,
PANAMINT,CA0653,360407,54292,,,,,0,,,,60,,,March 2004,
PICACHO (within CA0671),CA0672,0,0,,,,,0,,,,0,,,November 2002,
PIUTE MOUNTAIN,CA0696,37335,2445,,,,,0,,,,29,,,October 1987,
SAND SPRING-LAST CHANCE,CA0657,233152,7428,,,,,0,,,,0,,,May 1995,
SHAFFER MOUNTAIN,CA0240,29358,7510,,,,,0,,,,0,,,,
SLATE RANGE,CA0655,75713,437249,,,,,0,,,,30,,,February 2008,
TULEDAD (in CA0261 & CA0262),CA0270,2933,2371,,,,,0,,,,0,,,,
WOODS-HACKBERRY,CA0694,46343,10201,,,,,0,,,,0,,,December 1992,
OUTSIDE OF HERD AREAS,CA000Z,,,,,,,107,,,,58,,,January 2007,
LITTLE BOOK CLIFFS WILD HORSE RANG,CO0766,51086,1601,35205,925,150,,100,,0,,0,,,September 2007,2007
PICEANCE-EAST DOUGLAS CREEK,CO0161,158281,31741,158281,31741,235,,225,,0,,0,,,September 2006,2006
SAND WASH BASIN,CO0143,151548,5092,151548,5092,362,,392,,0,,0,,,September 2005,2005
SPRING CREEK BASIN,CO0384,43101,11500,21064,898,65,,40,,0,,0,,,August 2007,2007
DOUGLAS MOUNTAIN,CO0144,65829,10892,,,,,0,,,,0,,,,
NATURITA RIDGE,CO0345,53803,9490,,,,,0,,,,0,,,,
NORTH PICEANCE (in CO0161),CO0163,76959,12396,,,,,15,,,,0,,,September 2006,
WEST DOUGLAS CREEK,CO0162,123341,4752,,,,,120,,,,0,,,October 2006,
OUTSIDE OF HERD AREAS,CO000Z,,,,,,,41,,,,0,,,September 2006,
BLACK MOUNTAIN,ID0006,46636,4717,46546,4357,60,,28,,0,,0,,,July 2007,2007
CHALLIS,ID0005,156563,11288,156563,11288,253,,273,,0,,0,,,August 2004,2004
FOUR MILE,ID0002,21002,4803,15995,2040,60,,89,,0,,0,,,November 2003,2004
HARD TRIGGER,ID0007,62159,7722,60118,7697,130,,74,,0,,0,,,August 2007,2007
SAND BASIN,ID0004,9448,2267,9448,2267,64,,79,,0,,0,,,October 2003,2004
SAYLOR CREEK,ID0003,89237,12638,89237,12638,50,,160,,0,,0,,,August 2005,2005
MORGAN CREEK,ID0009,21230,2816,,,,,0,,,,0,,,,
SHEEP MOUNTAIN,ID0008,13899,893,,,,,0,,,,0,,,,
WEST CRANE CREEK,ID0001,8247,2091,,,,,0,,,,0,,,September 1989,
OUTSIDE OF HERD AREAS,ID000Z,,,,,,,0,,,,0,,,,
DIAMOND (All claimed-not mapped)  PRYOR MOUNTAIN WILD HORSE RANGE  MT0251,ID0010,28282,8865,28282,8865,105,,130,,0,,0,,,September 2003,
BARTON GULCH,MT0253,8087,10396,0,0,,,0,,,,0,,,,
DEVILS FENCE,MT0254,16414,52050,,,,,0,,,,0,,,,
ERVIN RIDGE,MT0252,6587,5175,,,,,0,,,,0,,,,
GARDEN CREEK,MT0255,13351,12900,,,,,0,,,,0,,,,
ROCKY HILLS,MT0257,25552,13815,,,,,0,,,,0,,,,
SWEETWATER,MT0256,6088,16041,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,MT000Z,,,,,,,40,,,,0,,,September 2003,
AMARGOSA VALLEY,NV0511,8172,729,8172,729,,,0,,0,,0,,,April 1990,1990
ANTELOPE,NV0401,393070,7568,393070,7568,,,310,,0,,0,,,January 2008,2008
ANTELOPE VALLEY,NV0107,496360,6554,496360,6554,,,309,,0,,0,,,December 2007,2005
APPLEWHITE,NV0518,30641,328,30641,328,,,6,,0,,0,,,,2001
ASH MEADOWS,NV0509,97831,17661,97831,17661,,,0,,0,,0,,,December 1993,1993
AUGUSTA MOUNTAINS,NV0311,311852,4128,176292,1347,,,154,,0,,0,,,November 2007,2008
BALD MOUNTAIN,NV0603,139698,182,139698,182,,,519,,0,,0,,,July 1981,
BLACK ROCK RANGE EAST,NV0209,89565,3873,89565,3873,,,215,,0,,0,,,November 2004,2005
BLACK ROCK RANGE WEST,NV0227,91095,1899,91095,1899,,,399,,0,,0,,,December 2004,2005
BLUE NOSE PEAK,NV0514,84622,166,84622,166,,,6,,0,,0,,,January 1993,1993
BLUE WING MOUNTAINS,NV0217,17854,0,17854,0,,,28,,28,,21,,,November 2005,2006
BUCK-BALD**,NV0403,825611,13314,825611,13314,,,420,,0,,0,,,August 2006,2006
BUFFALO HILLS,NV0220,124233,7627,124233,7627,,,542,,0,,0,,,February 2005,2002
BULLFROG,NV0629,147322,9881,142101,9676,,,0,,91,,75,,,August 1996,
BUTTE,NV0407,436712,7247,436712,7247,,,95,,0,,0,,,August 2006,2006
CALICO MOUNTAINS,NV0222,157722,2415,157722,2415,,,549,,0,,0,,,December 2004,2005
CALLAGHAN,NV0604,152723,3514,152723,3514,,,847,,0,,0,,,August 2002,
CHERRY CREEK,NV0406,35744,1531,35744,1531,,,11,,0,,0,,,February 1987,1987
CLAN ALPINE,NV0310,298649,3577,298649,3577,,,612,,0,,0,,,October 2006,2000
CLOVER CREEK,NV0517,33235,185,33235,185,,,7,,0,,0,,,,
CLOVER MOUNTAINS,NV0516,172398,689,172397,690,,,78,,0,,0,,,February 2006,2001
DEER LODGE CANYON,NV0521,106735,1725,106735,1725,,,35,,0,,0,,,March 2007,2007
DELAMAR MOUNTAINS,NV0515,184404,1440,184404,1440,,,45,,0,,0,,,February 2006,2006
DESATOYA,NV0606,157904,3833,157904,3833,,,280,,0,,0,,,February 2004,2004
DIAMOND,NV0609,168950,43009,145388,20666,,,132,,0,,0,,,July 2004,2004
DIAMOND HILLS NORTH,NV0104,70550,984,70550,984,,,54,,0,,0,,,August 2004,2004
DIAMOND HILLS SOUTH,NV0412,20915,0,20915,0,,,161,,0,,0,,,July 2004,2004
DOGSKIN MOUNTAINS,NV0302,6497,27,6497,27,,,12,,0,,0,,,December 2005,2006
DRY LAKE,NV0410,491675,2696,491675,2696,,,263,,0,,0,,,December 2006,2007
EL DORADO MOUNTAINS,NV0501,15039,80184,15031,1490,,,0,,0,,0,,,March 2007,2007
FISH CREEK,NV0612,266193,4189,250331,2495,,,100,,0,,0,,,February 2006,2006
FISH LAKE VALLEY**,NV0622,63830,3294,63797,3288,,,19,,0,,0,,,December 2004,2005
FLANIGAN,NV0301,16260,887,16260,887,,,103,,0,,0,,,August 2001,2001
FOX-LAKE RANGE,NV0228,172440,5284,172440,5284,,,331,,0,,0,,,January 2005,2005
GARFIELD FLAT,NV0313,125423,17292,125423,17292,,,130,,0,,0,,,August 2005,2005
GOLD BUTTE,NV0502,169224,101986,169204,9239,,,0,,98,,60,,,March 2007,2007
GOLD MOUNTAIN,NV0628,106524,1114,106524,1114,,,6,,78,,0,,,August 1996,2001
GOLDFIELD,NV0626,54256,9096,53271,9096,,,7,,37,,7,,,November 1996,1996
GOSHUTE,NV0108,290153,13017,265272,2005,,,194,,0,,0,,,January 2005,2005
GRANITE PEAK,NV0303,3981,21,3981,21,,,20,,0,,0,,,October 2002,2004
GRANITE RANGE,NV0221,90790,13016,90790,13016,,,301,,0,,0,,,February 2005,2005
HIGHLAND PEAK,NV0522,136090,1785,136091,1784,,,0,,0,,0,,,December 2006,2007
HORSE MOUNTAIN,NV0308,49570,210,49570,210,,,0,,0,,0,,,July 2000,2000
HOT CREEK,NV0616,79894,867,54304,353,,,0,,0,,0,,,January 2006,2006
JACKSON MOUNTAINS,NV0208,275300,8399,275300,8399,,,0,,0,,0,,,September 2007,2007
JAKES WASH**,NV0408,153662,0,147863,0,,,0,,0,,0,,,August 2007,2007
JOHNNIE**,NV0510,177310,2070,177310,2070,,,108,,0,,89,,,January 2007,2007
KAMMA MOUNTAINS,NV0214,54410,2980,54410,2980,,,0,,0,,0,,,November 2005,2006
LAHONTAN,NV0306,6953,2447,6953,2447,,,0,,0,,0,,,February 2004,2004
LAVA BEDS,NV0215,232928,71,232880,68,,,16,,0,,20,,,November 2005,2006
LITTLE FISH LAKE**,NV0614,113365,2919,28156,583,,,0,,0,,0,,,February 2006,2006
LITTLE HUMBOLDT,NV0102,52538,11406,15734,1418,,,0,,0,,0,,,September 2006,2006
LITTLE MOUNTAIN,NV0519,53035,222,53035,222,,,0,,0,,0,,,July 2002,2004
LITTLE OWYHEE,NV0200,454384,5745,454384,5745,,,0,,0,,0,,,September 2004,2004
MARIETTA WILD BURRO RANGE,NV0316,64476,1580,64476,1580,,,104,,0,,110,,,August 1999,2001
MAVERICK-MEDICINE,NV0105,318575,4905,318575,4905,,,0,,0,,0,,,July 2006,2006
MCGEE MOUNTIAN,NV0210,41071,41,41071,41,,,41,,0,,39,,,March 2006,2006
MEADOW VALLEY MOUNTAINS,NV0513,94519,2930,94519,2930,,,0,,0,,0,,,February 2006,
MILLER FLAT,NV0520,91751,237,91751,237,,,0,,0,,0,,,July 2002,2002
MONTE CRISTO**,NV0402,372653,5610,372653,5610,,,0,,0,,0,,,January 2006,2006
MONTEZUMA PEAK,NV0625,76557,1373,76557,1373,,,0,,0,,21,,,November 1996,2001
MORIAH**,NV0413,43375,0,43375,0,,,0,,0,,0,,,October 2007,2008
MUDDY MOUNTAINS,NV0503,82709,104601,75856,2725,,,0,,0,,0,,,March 2007,2007
NEVADA WILD HORSE RANGE,NV0524,10,1301628,10,1301628,,,0,,0,,0,,,July 2007,2004
NEW PASS-RAVENSWOOD,NV0602,259099,1258,259099,1258,,,0,,0,,0,,,November 2007,2008
NIGHTENGALE MOUNTAINS,NV0219,72754,3690,72754,3690,,,0,,0,,4,,,November 2005,2006
NORTH STILLWATER,NV0229,176854,2081,176854,2081,,,0,,0,,1,,,February 2003,
OWYHEE,NV0101,336260,2026,336260,2026,,,0,,0,,0,,,September 2006,2003
